Date;Closing_rate;Change;Turnover;Transactions
21.03.2001;18,35;-0,008141158;373620;526
22.03.2001;17,9;-0,024828862;699667;547
23.03.2001;18,35;0,024828862;471367;429
26.03.2001;18,5;0,008141158;574201;546
27.03.2001;18,3;-0,010869672;417057;448
28.03.2001;18,4;0,005449605;581843;519
29.03.2001;18,35;-0,00272109;281469;328
30.03.2001;18,3;-0,002728515;305789;308
02.04.2001;18;-0,016529302;276798;391
03.04.2001;17,5;-0,028170877;557152;501
04.04.2001;17,2;-0,017291497;579814;442
05.04.2001;17,3;0,005797118;345655;359
06.04.2001;17,85;0,031297007;556551;549
09.04.2001;17,9;0,002797205;288742;370
10.04.2001;18,35;0,024828862;614864;723
11.04.2001;18,6;0,013532006;621299;599
12.04.2001;18,7;0,005361943;561705;649
17.04.2001;18,5;-0,010752792;313717;438
18.04.2001;19,6;0,057758834;659623;926
19.04.2001;19,85;0,012674441;885042;1037
20.04.2001;19,75;-0,005050516;814344;1004
23.04.2001;19,55;-0,010178205;417478;559
24.04.2001;19,45;-0,005128216;525050;578
25.04.2001;19,75;0,015306421;283728;406
26.04.2001;19,9;0,00756624;600357;666
27.04.2001;19,85;-0,002515725;830687;995
30.04.2001;18,6;-0,065042426;934876;1063
02.05.2001;18,25;-0,018996501;888898;950
04.05.2001;18;-0,013793322;505533;588
07.05.2001;18,3;0,016529302;323597;515
08.05.2001;18,05;-0,013755375;587972;671
09.05.2001;18;-0,002773927;478992;437
10.05.2001;18,3;0,016529302;461432;458
11.05.2001;18,4;0,005449605;455185;471
14.05.2001;18,7;0,016172859;257715;524
15.05.2001;18,5;-0,010752792;173735;352
16.05.2001;17,95;-0,030180617;1166814;833
17.05.2001;17,9;-0,002789402;698755;446
18.05.2001;18,05;0,008344972;546384;333
21.05.2001;18,4;0,01920498;751924;653
22.05.2001;18,65;0,013495481;779629;766
23.05.2001;19,25;0,031664915;1532533;1277
24.05.2001;19,65;0,020566278;571054;902
25.05.2001;19,4;-0,012804272;635843;611
28.05.2001;19,2;-0,010362787;398744;1786
29.05.2001;19,2;0;1012146;2260
30.05.2001;19,25;0,002600782;329846;393
31.05.2001;19,8;0,028170877;690063;769
01.06.2001;19,85;0,002522069;637655;569
04.06.2001;19,5;-0,017789542;274033;445
05.06.2001;19,8;0,015267472;493454;554
06.06.2001;19,6;-0,010152371;1016344;542
07.06.2001;19,05;-0,028462465;907360;570
08.06.2001;18,6;-0,023905521;801964;603
11.06.2001;18,4;-0,010810916;870742;559
12.06.2001;18,6;0,010810916;587630;523
13.06.2001;18,6;0;753843;495
15.06.2001;17,95;-0,035571466;796886;735
18.06.2001;18;0,002781643;597951;596
19.06.2001;18,05;0,002773927;420570;444
20.06.2001;17,9;-0,008344972;219121;296
21.06.2001;18,1;0,011111225;328912;358
22.06.2001;18;-0,00554018;370263;473
25.06.2001;18,3;0,016529302;366651;544
26.06.2001;17,6;-0,039002158;352637;603
27.06.2001;17,7;0,005665738;191782;297
28.06.2001;17,85;0,008438869;249942;489
29.06.2001;17,75;-0,005617992;221380;442
02.07.2001;17,85;0,005617992;433518;448
03.07.2001;17,8;-0,002805051;267175;340
04.07.2001;17,75;-0,002812941;569969;455
05.07.2001;17,7;-0,002820876;399053;316
06.07.2001;17,6;-0,005665738;344390;308
09.07.2001;17;-0,034685558;598286;599
10.07.2001;16,3;-0,042048236;386869;541
11.07.2001;16,1;-0,012345836;1307710;779
12.07.2001;16,35;0,015408625;974682;651
13.07.2001;16,2;-0,009216655;545271;574
16.07.2001;16,8;0,036367644;958088;458
17.07.2001;16,45;-0,021053409;694059;472
18.07.2001;16,55;0,006060625;585730;349
19.07.2001;16,95;0,023881732;1133202;831
20.07.2001;16,4;-0,032986499;1039233;696
23.07.2001;16,4;0;768757;472
24.07.2001;16,15;-0,015361285;951844;682
25.07.2001;16,25;0,006172859;765210;703
26.07.2001;16,75;0,030305349;630906;578
27.07.2001;16,9;0,008915364;995033;650
30.07.2001;17;0,005899722;833798;647
31.07.2001;16,85;-0,008862687;618849;449
01.08.2001;17;0,008862687;514032;577
02.08.2001;17,45;0,026126305;842062;563
03.08.2001;17,4;-0,002869442;828568;636
06.08.2001;17,4;0;841242;527
07.08.2001;17,15;-0,014472033;601940;492
08.08.2001;16,65;-0,029587957;756545;495
09.08.2001;16,4;-0,015128882;409845;382
10.08.2001;16,55;0,009104767;438823;390
13.08.2001;16,35;-0,012158204;489098;400
14.08.2001;16,7;0,021180822;322732;374
16.08.2001;16,3;-0,024243612;759805;496
17.08.2001;16,15;-0,009245058;678488;507
20.08.2001;16,2;0,003091193;346719;362
21.08.2001;16,45;0,015314235;286056;384
22.08.2001;16,85;0,02402518;301855;438
23.08.2001;17,15;0,017647517;546907;618
24.08.2001;17,5;0,020202707;571872;508
27.08.2001;17,3;-0,011494379;490024;613
28.08.2001;17,15;-0,008708328;657664;625
29.08.2001;17,3;0,008708328;282877;427
30.08.2001;17,45;0,008633147;337095;442
31.08.2001;17,8;0,019858809;379057;421
03.09.2001;18,2;0,022223137;551419;673
