"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DEA37","Number","ICCS0101","0",""
"2010","DEA38","Number","ICCS0101","1",""
"2010","DEA41","Number","ICCS0101","1",""
"2010","DEA42","Number","ICCS0101","2",""
"2010","DEA43","Number","ICCS0101","1",""
"2010","DEA44","Number","ICCS0101","0",""
"2010","DEA45","Number","ICCS0101","3",""
"2010","DEA46","Number","ICCS0101","1",""
"2010","DEA47","Number","ICCS0101","1",""
"2010","DEA51","Number","ICCS0101","0",""
"2010","DEA52","Number","ICCS0101","4",""
"2010","DEA53","Number","ICCS0101","3",""
"2010","DEA54","Number","ICCS0101","2",""
"2010","DEA55","Number","ICCS0101","0",""
"2010","DEA56","Number","ICCS0101","1",""
"2010","DEA57","Number","ICCS0101","1",""
"2010","DEA58","Number","ICCS0101","2",""
"2010","DEA59","Number","ICCS0101","1",""
"2010","DEA5A","Number","ICCS0101","1",""
"2010","DEA5B","Number","ICCS0101","1",""
"2010","DEA5C","Number","ICCS0101","8",""
"2010","DEB","Number","ICCS0101","27",""
"2010","DEB11","Number","ICCS0101","1",""
"2010","DEB12","Number","ICCS0101","1",""
"2010","DEB13","Number","ICCS0101","0",""
"2010","DEB14","Number","ICCS0101","1",""
"2010","DEB15","Number","ICCS0101","0",""
"2010","DEB16","Number","ICCS0101","1",""
"2010","DEB17","Number","ICCS0101","0",""
"2010","DEB18","Number","ICCS0101","2",""
"2010","DEB19","Number","ICCS0101","0",""
"2010","DEB1A","Number","ICCS0101","0",""
"2010","DEB1B","Number","ICCS0101","1",""
"2010","DEB21","Number","ICCS0101","1",""
"2010","DEB22","Number","ICCS0101","0",""
"2010","DEB23","Number","ICCS0101","1",""
"2010","DEB24","Number","ICCS0101","1",""
"2010","DEB25","Number","ICCS0101","1",""
"2010","DEB31","Number","ICCS0101","0",""
"2010","DEB32","Number","ICCS0101","0",""
"2010","DEB33","Number","ICCS0101","1",""
"2010","DEB34","Number","ICCS0101","2",""
"2010","DEB35","Number","ICCS0101","0",""
"2010","DEB36","Number","ICCS0101","0",""
"2010","DEB37","Number","ICCS0101","0",""
"2010","DEB38","Number","ICCS0101","1",""
"2010","DEB39","Number","ICCS0101","3",""
"2010","DEB3A","Number","ICCS0101","0",""
"2010","DEB3B","Number","ICCS0101","2",""
"2010","DEB3C","Number","ICCS0101","1",""
"2010","DEB3D","Number","ICCS0101","1",""
"2010","DEB3E","Number","ICCS0101","1",""
"2010","DEB3F","Number","ICCS0101","1",""
